Player,Weight (kg),Height (cm),Birthday,Year Turned Pro,Right-Left-Handed,Two-One-Backhanded,Matches,Wins,Losses,Winning Ratio,Ace (%),Double Fault (%),1st Serve In (%),1st Serve Win (%),2nd Serve Win (%),Total Points Win (%),Return Points Win (%),Dominant Rate
Ivan Nedelko,80.0,185.0,1986-05-12,2006,1,1,968,580,388,0.5991735537190083,3.7389312977099243,4.0152671755725216,55.12671755725193,62.649618320610706,45.619083969465656,46.02290076335876,36.45954198473283,0.8832061068702288
Tobias Kamke,76.0,178.0,1986-05-21,2004,1,1,963,502,461,0.5212876427829699,3.034553440702781,4.337774524158126,58.82737920937044,68.32152269399705,51.61727672035133,50.873645680819884,40.46383601756952,1.1641727672035145
Mischa Zverev,88.0,191.0,1987-08-22,2005,0,1,958,481,477,0.5020876826722338,6.063622291021673,3.3554179566563422,64.19814241486064,69.11222910216712,49.15634674922604,49.61052631578945,37.594272445820415,1.0971052631578941
Jo Wilfried Tsonga,93.0,188.0,1985-04-17,2004,1,1,952,641,311,0.6733193277310925,12.541571428571423,3.0130000000000026,62.07671428571425,78.06485714285712,53.272857142857156,52.18814285714284,36.02771428571422,1.2702000000000018
Viktor Troicki,86.0,193.0,1986-02-10,2006,1,1,932,529,403,0.5675965665236051,10.225366568914959,3.2391495601173013,61.29941348973603,72.56143695014676,48.37390029325513,50.21686217008806,37.55806451612902,1.130645161290323
Ruben Bemelmans,75.0,183.0,1988-01-14,2006,0,1,938,534,404,0.5692963752665245,8.30415384615385,3.70738461538462,62.909692307692325,72.88092307692307,52.57569230769229,51.0507692307692,37.162615384615385,1.1920153846153845
Konstantin Kravchuk,80.0,191.0,1985-02-23,2004,1,1,947,546,401,0.5765575501583949,10.842315789473675,2.6766315789473674,63.66589473684214,73.75705263157893,51.97136842105264,50.45305263157894,35.395157894736805,1.1897052631578948
Gael Monfils,85.0,193.0,1986-09-01,2004,1,1,940,599,341,0.6372340425531915,10.636496350364967,4.481873479318739,62.48163017031628,73.28856447688561,50.33381995133818,51.41593673965935,38.60231143552307,1.1764111922141145
Pablo Cuevas,78.0,180.0,1986-01-01,2004,1,0,928,555,373,0.5980603448275862,7.04319327731093,3.5299159663865556,60.85680672268914,71.92789915966381,52.921585160202376,51.231764705882334,38.36554621848739,1.186218487394957
Joao Sousa,74.0,185.0,1989-03-30,2008,1,1,936,485,451,0.5181623931623932,4.661396011396017,2.8653846153846154,61.059686609686615,69.57464387464387,50.20670470756062,49.78506401137978,37.82076813655759,1.0694736842105255
Robin Haase,77.0,191.0,1987-04-06,2005,1,1,938,518,420,0.5522388059701493,7.869418132611636,3.5742895805142085,59.346143437077124,72.55913396481735,50.385115020297675,50.425439783491164,37.37090663058188,1.1084303112313934
Facundo Bagnis,82.0,183.0,1990-02-27,2008,0,1,938,551,387,0.5874200426439232,5.731565329883576,4.855109961190171,60.605821474773535,69.96403622250972,51.10944372574382,51.4552393272963,40.3905562742561,1.1629754204398446
Pablo Andujar,80.0,180.0,1986-01-23,2003,1,1,929,493,436,0.5306781485468245,2.2746218487394954,4.472268907563027,62.99495798319324,65.13680672268909,49.77828282828276,50.073277310924354,40.906386554621875,1.0817815126050423
Mikhail Kukushkin,72.0,183.0,1987-12-26,2006,1,1,928,515,413,0.5549568965517241,4.215021459227471,1.99184549356223,60.78869814020027,67.72618025751075,53.48340486409159,50.60815450643782,39.049499284692395,1.1332188841201711
Stephane Robert,77.0,185.0,1980-05-17,2001,1,1,911,539,372,0.5916575192096597,5.694291754756867,4.905073995771669,53.9179704016913,69.87610993657503,48.340591966173335,50.02790697674417,40.403594080338245,1.077420718816067
Radu Albot,69.0,175.0,1989-11-11,2008,1,1,927,526,401,0.5674217907227616,2.8889922480620167,3.4992248062015503,65.03038759689923,65.95689922480624,50.44542635658909,50.32620155038762,39.9193798449612,1.079519379844962
Blaz Kavcic,78.0,188.0,1987-03-05,2005,1,1,910,543,367,0.5967032967032967,6.0056572379367745,4.519134775374381,63.36006655574044,69.52795341098172,49.24658901830281,51.886189683860195,42.11064891846922,1.2305657237936782
Andrej Martin,83.0,183.0,1989-09-20,2007,1,1,903,505,398,0.5592469545957918,3.619847328244279,4.518778625954198,62.332977099236615,66.03923664122136,48.708854961832,50.70229007633584,42.07324159021405,1.1104427480916035
Benoit Paire,80.0,196.0,1989-05-08,2007,1,1,925,496,429,0.5362162162162162,10.20317880794703,6.03788079470198,52.37642384105958,74.14105960264907,46.0851655629139,49.64317880794701,38.522281167108716,1.0456423841059597
Tatsuma Ito,75.0,180.0,1988-05-18,2006,1,1,918,520,398,0.5664488017429193,6.033742331288345,4.262423312883443,60.50628834355827,70.39463190184051,50.9935582822086,50.32944785276073,38.28174846625767,1.1565337423312885
Santiago Giraldo,75.0,188.0,1987-11-27,2004,1,1,908,517,391,0.5693832599118943,5.145999999999998,2.174909090909091,62.3205454545455,70.09090909090911,52.06229508196723,50.58509090909094,37.91545454545452,1.1098727272727267
Peter Polansky,80.0,183.0,1988-06-15,2007,1,1,897,493,404,0.5496098104793757,6.1264653641207865,3.77833037300178,57.778330373001786,69.81722912966264,52.13143872113672,49.92735346358793,37.51616341030194,1.0783836589698046
Kevin Anderson,94.0,203.0,1986-05-18,2007,1,1,893,551,342,0.6170212765957447,16.074285714285722,3.608421052631582,64.63984962406012,77.6036090225565,54.30195488721805,51.80917293233077,34.92827067669174,1.273172932330827
Steve Darcis,78.0,175.0,1984-03-13,2003,1,0,880,550,330,0.625,5.574329501915708,2.6586206896551734,60.880842911877366,70.62509578544065,52.46468330134358,51.12988505747124,39.012284069097845,1.164942528735632
Steven Diez,75.0,175.0,1991-03-17,2009,1,1,905,506,399,0.5591160220994476,2.3286396181384235,4.114081145584723,62.03198090692132,64.15155131264916,48.32219570405724,49.1742243436754,40.30477326968977,1.0420047732696893
Yuichi Sugita,72.0,175.0,1988-09-18,2006,1,1,876,507,369,0.5787671232876712,4.583865814696491,2.972683706070291,60.88833865814702,68.71712000000004,51.34872204472845,50.41244019138757,38.91052631578946,1.1195374800637972
Jeremy Chardy,75.0,188.0,1987-02-12,2005,1,1,879,471,408,0.5358361774744027,10.460057887120113,5.185528219971057,60.24790159189582,74.5913169319827,50.348335745296644,50.293198263386365,35.77510853835019,1.1216497829232994
Thomaz Bellucci,82.0,188.0,1987-12-30,2005,0,1,882,474,408,0.5374149659863946,6.985433715220954,4.126350245499178,58.09459901800328,70.32651391162027,51.50540098199674,50.32389525368242,38.57430441898527,1.1054009819967272
Ernests Gulbis,85.0,191.0,1988-08-30,2004,1,1,858,463,395,0.5396270396270396,11.38932330827069,5.936992481203012,58.5148872180451,75.39548872180444,48.490827067669144,50.085714285714296,35.91353383458647,1.0995037593984962
John Isner,108.0,208.0,1985-04-26,2007,1,1,874,541,333,0.6189931350114416,21.40556291390729,2.586754966887417,68.93735099337746,79.06357615894038,56.53589403973515,50.87947019867551,29.823178807947052,1.1836556291390714
Mohamed Safwat,83.0,180.0,1990-09-19,2008,1,1,884,515,369,0.582579185520362,5.307837837837838,3.8043243243243214,59.90918918918924,68.90621621621625,49.1440540540541,48.78405405405404,36.53351351351349,1.0202162162162156
Peter Gojowczyk,83.0,188.0,1989-07-15,2006,1,1,866,469,397,0.5415704387990762,9.508273381294977,4.861510791366911,54.06762589928055,74.83471223021571,49.397122302158245,50.33741007194245,37.73974820143883,1.1433992805755386
Illya Marchenko,87.0,185.0,1987-09-08,2006,1,1,876,489,387,0.5582191780821918,6.880156250000008,4.887812500000001,57.84062500000003,72.82937499999993,51.12203124999998,50.94968750000002,38.479374999999955,1.136375
David Goffin,70.0,180.0,1990-12-07,2009,1,1,875,559,316,0.6388571428571429,7.164347826086958,4.633043478260869,58.18014492753623,72.44028985507242,51.22420289855068,52.03666666666668,40.90115942028987,1.235565217391305
Thomas Fabbiano,70.0,173.0,1989-05-26,2005,1,1,851,463,388,0.5440658049353702,2.73547237076649,3.8486631016042763,63.94153297682705,65.50784313725485,51.23511586452757,49.9748663101604,39.78734402852052,1.0863101604278071
Miljan Zekic,79.0,185.0,1988-07-12,,1,1,868,529,339,0.6094470046082949,6.004035874439462,3.634529147982061,61.626457399103124,68.18923766816144,47.193273542600906,48.92645739910316,37.325560538116605,1.0156053811659198
Sam Querrey,95.0,198.0,1987-10-07,2006,1,1,846,474,372,0.5602836879432624,16.062765957446818,4.305984042553197,59.17779255319155,79.40598404255317,51.009707446808555,51.197074468085056,34.78537234042552,1.180744680851064
Daniel Dutra da Silva,75.0,173.0,1988-07-05,2007,0,1,861,526,335,0.610917537746806,4.979285714285714,4.797857142857145,58.63714285714285,66.61214285714284,47.29500000000001,48.83642857142857,38.702857142857155,1.023
Frank Dancevic,79.0,185.0,1984-09-26,2003,1,0,816,468,348,0.5735294117647058,10.755630630630634,3.1536036036036026,59.20855855855853,74.39594594594597,51.86666666666667,50.23243243243241,35.61689189189192,1.14
Alejandro Gonzalez,83.0,191.0,1989-02-07,2006,1,1,845,461,384,0.5455621301775148,4.094957983193278,3.167226890756303,61.61596638655464,66.4304621848739,49.334033613445385,49.803571428571466,39.85378151260506,1.0762605042016802
Diego Schwartzman,64.0,170.0,1992-08-16,2010,1,1,858,524,334,0.6107226107226107,2.5475609756097564,3.932317073170734,63.0135670731707,65.6387195121952,50.527743902439006,51.73125000000002,43.771341463414586,1.184527439024389
Hiroki Moriya,65.0,168.0,1990-10-16,,1,1,856,451,405,0.5268691588785047,3.7505319148936174,4.380319148936174,58.952659574468065,66.09148936170213,49.47872340425533,49.01081560283687,38.7746453900709,1.031063829787233
Donald Young,79.0,183.0,1989-07-23,2004,0,1,859,457,402,0.5320139697322468,3.9743119266055085,5.6666666666666705,61.04051987767588,68.365749235474,49.50015290519879,49.926911314984686,38.714067278287445,1.0854740061162071
Leonardo Mayer,80.0,191.0,1987-05-15,2003,1,0,833,466,367,0.5594237695078031,7.673539518900344,4.75910652920962,60.79587628865978,73.66357388316162,52.90601374570445,50.93745704467354,36.72302405498283,1.1680584192439856
Evgeny Donskoy,75.0,185.0,1990-05-09,2007,1,1,845,447,398,0.5289940828402366,7.326222826086968,3.0459239130434796,58.267255434782584,73.27377717391307,52.57078804347828,50.55027173913039,36.76997282608696,1.1528396739130455
Igor Sijsling,85.0,191.0,1987-08-18,2006,1,0,829,470,359,0.5669481302774427,8.898720682302775,3.0980810234541547,59.55692963752669,74.05245202558633,50.42046908315565,50.604477611940304,37.07441364605545,1.1553304904051152
Federico Coria,73.0,180.0,1992-03-09,2010,1,1,836,506,330,0.6052631578947368,2.8439803439803417,3.5383292383292386,68.50859950859953,64.02555282555286,50.62751842751844,50.89975429975432,42.152334152334156,1.1396068796068797
Roberto Carballes Baena,77.0,183.0,1993-03-23,2011,1,1,842,506,336,0.6009501187648456,3.2988709677419337,3.7488709677419387,63.23983870967739,67.2283870967742,51.264032258064454,51.58048387096776,42.04016129032256,1.2056451612903234
Dusan Lajovic,83.0,183.0,1990-06-30,2007,1,0,833,449,384,0.539015606242497,5.18850226928896,2.4378214826021143,64.59440242057495,69.07170953101368,53.18366111951583,50.5370650529501,37.605748865355494,1.1117549167927376
Matthew Ebden,80.0,188.0,1987-11-26,2006,1,1,819,457,362,0.557997557997558,8.141056218057914,5.475809199318568,62.15587734241907,72.70528109028956,49.43509369676324,50.87376490630328,37.885178875638815,1.173407155025553
Andrey Golubev,77.0,180.0,1987-07-22,2005,1,0,818,435,383,0.5317848410757946,6.588181818181821,4.273863636363635,59.895909090909086,70.61227272727272,51.23636363636364,49.73840909090913,36.45340909090908,1.1242045454545448
Taro Daniel,84.0,191.0,1993-01-27,2010,1,1,827,483,344,0.5840386940749698,4.129441624365484,3.677834179357022,63.05397631133673,68.02673434856185,50.77309644670051,50.672588832487364,39.62148900169202,1.1304737732656525
Pablo Carreno Busta,78.0,188.0,1991-07-12,2009,1,1,841,538,303,0.6397146254458977,5.322325581395349,2.450232558139535,63.41085271317833,70.45441860465121,52.700310077519354,51.595503875968966,39.542480620155054,1.2020465116279078
Jan Lennard Struff,92.0,193.0,1990-04-25,2009,1,1,840,472,368,0.5619047619047619,10.303903903903917,4.724474474474473,56.01636636636638,75.74399399399395,51.05765765765768,51.114114114114116,37.53903903903905,1.1751651651651647
Brydan Klein,83.0,188.0,1989-12-31,2007,1,1,817,474,343,0.5801713586291309,8.551779935275084,5.393527508090613,60.60453074433656,71.34110032362463,49.04563106796116,49.57411003236245,36.41558441558439,1.056731391585761
Norbert Gombos,85.0,193.0,1990-08-13,2009,1,1,823,470,353,0.5710814094775213,7.358762886597934,4.87938144329897,60.65996563573883,72.52869415807565,49.94089347079038,51.210309278350515,39.03127147766323,1.1554810996563576
Ricardas Berankis,77.0,175.0,1990-06-21,2007,1,1,819,484,335,0.590964590964591,6.367756315007433,3.9848439821693917,57.69509658246656,72.7121842496286,53.835215453194735,51.306240713224355,38.38766716196136,1.1780832095096583
Gastao Elias,76.0,180.0,1990-11-24,2008,1,1,821,454,367,0.5529841656516443,5.314518760195761,4.16035889070147,53.9818923327896,70.24339314845022,50.29200652528544,50.47198697068403,40.26889250814331,1.1181596091205204
Luca Vanni,94.0,198.0,1985-06-04,,1,1,807,456,351,0.5650557620817844,13.035582822085894,3.9815950920245404,59.49723926380371,75.06257668711652,49.1079754601227,50.039877300613455,35.696012269938656,1.0880674846625766
Federico Gaio,83.0,178.0,1992-03-05,2009,1,0,814,435,379,0.5343980343980343,6.782952182952183,5.181081081081077,56.94261954261953,71.41164241164245,50.47318087318088,49.68024948024949,37.416216216216235,1.0838461538461541
Roberto Ortega Olmedo,70.0,168.0,1991-04-30,,1,0,801,455,346,0.568039950062422,3.0105990783410124,4.619815668202767,57.285714285714334,65.63594470046085,48.777419354838706,48.13317972350231,37.684331797235046,0.9748387096774191
Rajeev Ram,84.0,193.0,1984-03-18,2004,1,0,798,409,389,0.5125313283208021,10.308215962441315,3.2579812206572765,61.96948356807516,74.39647887323942,50.71455399061029,49.998826291079745,35.10727699530513,1.1274882629107978
Vasek Pospisil,88.0,193.0,1990-06-23,2007,1,1,819,475,344,0.57997557997558,12.405196850393711,4.390866141732286,57.849606299212574,77.27606299212597,52.22566929133861,51.13811023622052,35.511496062992116,1.1825354330708662
Federico Delbonis,90.0,193.0,1990-10-05,2007,0,1,803,447,356,0.5566625155666252,4.995539568345327,4.327194244604313,61.83395683453234,70.81956834532375,52.31239193083578,51.32431654676254,39.25712230215821,1.1879712230215826
Frederik Nielsen,87.0,188.0,1983-08-27,2001,1,1,795,472,323,0.5937106918238994,5.408243727598567,4.027240143369173,59.853046594982104,68.46021505376349,50.74408602150537,50.67383512544802,40.06223021582732,1.12426523297491
Marius Copil,88.0,191.0,1990-10-17,2008,1,0,810,433,377,0.5345679012345679,13.308237232289953,4.0115321252059335,58.956507413509044,76.35996705107087,53.338778877887776,50.619934102141684,34.61960461285008,1.1639044481054364
Daniel Evans,75.0,175.0,1990-05-23,2006,1,0,819,504,315,0.6153846153846154,5.838510638297871,3.7463829787234,61.959787234042565,71.50872340425529,51.73765957446806,51.279361702127616,38.729361702127655,1.165170212765956
Grigor Dimitrov,81.0,191.0,1991-05-16,2008,1,0,806,492,314,0.6104218362282878,8.890829694323147,4.291266375545854,61.99155749636092,75.32430858806404,52.07700145560403,51.81004366812226,37.50305676855893,1.2232314410480334
Jimmy Connors,70.0,178.0,1952-09-02,1972,0,1,1576,1275,301,0.809010152284264,2.134177215189873,2.896202531645571,65.3873417721519,62.65189873417723,49.70506329113922,49.56582278481013,40.65316455696202,1.0208860759493674
Kei Nishikori,73.0,178.0,1989-12-29,2007,1,1,787,536,251,0.6810673443456162,4.252592592592596,3.415703703703703,61.239703703703654,70.69244444444442,53.57570370370367,51.74385185185187,39.66844444444441,1.1807259259259255
Denis Kudla,79.0,180.0,1992-08-17,2010,1,1,797,445,352,0.5583437892095358,6.630659025787974,4.110888252148994,58.66017191977083,70.4014326647565,51.284813753581695,50.56060171919771,38.896704871060145,1.1318911174785096
Damir Dzumhur,68.0,175.0,1992-05-20,2011,1,1,794,464,330,0.5843828715365239,3.1131921824104247,3.323615635179155,64.62084690553755,65.97035830618891,51.2864820846905,50.74120521172636,41.05065146579806,1.1362377850162864
Kenny De Schepper,100.0,203.0,1987-05-29,2010,0,0,805,425,380,0.5279503105590062,10.146762589928061,4.701079136690644,68.54334532374101,72.56223021582734,50.51672661870504,50.629676258992845,35.70162162162162,1.1354316546762604
Martin Klizan,85.0,191.0,1989-07-11,2007,0,1,771,437,334,0.5667963683527886,5.546737213403885,4.6349206349206336,57.24091710758372,69.05273368606703,50.558730158730185,50.28589065255737,39.082186948853604,1.0835626102292777
Lorenzo Giustino,80.0,180.0,1991-09-10,2007,1,1,784,390,394,0.49744897959183676,5.20762331838565,4.75515695067265,56.714573991031365,67.50381165919275,47.92869955156947,48.94730941704037,38.473766816143474,1.0004484304932735
Alessandro Bega,70.0,170.0,1991-01-11,,1,1,774,457,317,0.5904392764857881,2.1697674418604658,3.8593023255813943,63.64244186046513,63.84534883720933,46.86220930232558,47.968023255813954,37.90465116279068,0.9762209302325581
Jonathan Eysseric,80.0,180.0,1990-05-27,2008,0,1,775,427,348,0.5509677419354839,6.424152542372881,5.299152542372877,57.429661016949126,67.47923728813561,45.93601694915256,48.431355932203424,38.0576271186441,0.98593220338983
Peter Torebko,84.0,185.0,1988-02-10,2008,1,1,768,449,319,0.5846354166666666,7.236082474226808,6.772680412371131,55.41701030927832,69.98195876288663,46.76958762886598,49.55773195876289,39.813402061855655,1.0474226804123716
Guido Pella,79.0,183.0,1990-05-17,2007,0,1,763,450,313,0.5897771952817824,5.681800766283526,3.4800766283524918,64.13448275862073,69.02356321839078,51.57835249042146,51.06762452107276,39.61628352490422,1.1462260536398456
Juan Martin del Potro,97.0,198.0,1988-09-23,2005,1,1,759,535,224,0.7048748353096179,10.148903878583475,2.987689713322092,64.01197301854974,75.1942664418212,53.98785834738617,52.950084317032015,39.11281618887012,1.3148903878583476
Oriol Roca Batalla,75.0,173.0,1993-04-30,,1,0,779,495,284,0.6354300385109114,4.74450867052023,3.484393063583815,59.53988439306357,67.66589595375713,47.9,49.07745664739883,37.89248554913293,1.0216184971098266
Andrea Collarini,78.0,183.0,1992-01-31,2010,0,1,749,423,326,0.5647530040053405,3.741262135922331,4.541504854368929,63.366262135922284,67.18689320388351,50.981067961165,50.455097087378675,39.451699029126196,1.1441990291262139
John Millman,79.0,183.0,1989-06-14,2006,1,1,757,444,313,0.5865257595772787,5.164157706093193,2.448387096774192,61.90985663082439,69.2637992831541,53.52903225806449,51.55645161290327,39.84372759856626,1.1754838709677409
